,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
chinese steamed buns,300g all-purpose flour,1 and ½ teaspoon instant yeast,2 tablespoons sugar (optional),150g water or 20ml more if needed,a tiny pinch of salt (around 1.5% of the dough),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese chicken noodle soup,4 cups unsalted chicken stock,2 serving fresh noodles,2 trees of Bok Choy,seasonings for each serving,1 tsp. salt,¼ tsp. white pepper,1 tbsp. finely chopped scallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic chinese chicken stock,one whole chicken (around 2000g),1 small chunk of ginger,4 scallions,2.5L to 3L water,one whole chicken (around 2000g),1 small chunk of ginger,4 scallions,2.5L to 3L water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dan dan noodles,2 serving fresh egg noodles,chopped scallion,blanched vegetables,Chicken stock or pork stock,½ cup soy beans,cooking oil for frying,1 cup minced pork (with some fat),½ tsp. salt,¼ tsp. white pepper,½ tbsp. light soy sauce,"2 tbsp. cooking oil, divided",½ tbsp. minced ginger,½ tbsp. minced garlic,1 tsp. dark soy sauce,1 cup ya-cai,½ tbsp. chili powder,1 tbsp. sesame paste,1 tbsp. light soy sauce,1 tsp. sesame oil,1 tbsp.chili oil,1 tsp. black vinegar,a really small pinch of salt,1 tsp. sugar,1 tbsp. minced garlic,,,,,,,,,,,,,,,,,,,,,,
savory steamed egg,4 eggs (about 55g each),"1 cup + ¼ cup water (300ml water), 40 to 45 degree C",1 tbsp. soy sauce for drizzling,½ tbsp. Sesame oil for drizzling,pinch of salt (recommend 1 tsp.),chopped green onion for decoration (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smashed cucumber salad,2 cucumber,"1 small bunch coriander, cut into 1 inch sections and keep some for decoration",pinch of salt,1 tsp. sugar,"¼ red bell pepper, shredded",1 tbsp. light soy sauce,1 tbsp. sesame oil,1 tbsp. chili oil,1 tbsp. vinegar,"3 garlic cloves, grated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg drop soup,4 cups chicken stock,2 large eggs,2 tbsp. cornstarch,3 tbsp. water,¼ tsp. ground white pepper,1 tsp. salt,1 tbsp. light soy sauce (optional),½ tbsp. minced ginger,"3 scallion, white part and green part separately chopped",½ tbsp. sesame oil (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scallion pancakes,300g (2cups + 2 tbsp.) all purpose flour,170g (1/2 cup + 3tbsp. ) hot water,⅓ cup vegetable oil,¼ cup AP flour,5 scallion whites,2 cups finely chopped green onion or scallion,salt for garnishing,oil for brushing and pan-frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water spinach with garlic,1 small bunch water spinach,2 tablespoons vegetable oil (canola oil or peanut oil ),4 to 5 dried red chili peppers (optional),"2 cloves garlic, finely chopped",½ teaspoon salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green beans and minced meat stir fry,"500g (around 1 pound) green beans, remove the two ends and chopped",1 cup ground pork (recommend meat with same fat),a small pinch of salt,a small pinch of white pepper,½ tablespoon light soy sauce,"2 garlic cloves, minced",1 tbsp. minced ginger,"3-5 fresh Thai pepper, chopped",2 tbsp. cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold sesame wonton,40 wonton wrappers,250g ground pork (fat vs lean meat: 3:7),2 tbsp. chopped scallion,1 tbsp. chopped ginger,1 tbsp. oyster sauce,1 tbsp. light soy sauce,¼ tsp. white pepper,¼ tsp. salt,1 small egg,1 tsp. sesame oil,3 tbsp. sesame paste,5 tbsp. cold water plus more if necessary,1 tbsp. light soy sauce,pinch of salt (recommend 1 tsp),½ tbsp. black vinegar,1 tbsp. sesame oil,1 grated garlic,freshly ground Sichuan peppercorn,1 cup chopped scallion,1 cup chopped Zha-cai or you can use crushed peanuts (for the crispy taste),Homemade Chili oil,,,,,,,,,,,,,,,,,,,,,,,,,
one pot rice with ribs and corns,100g short ribs,1 tbsp. light soy sauce,1 tsp. salt,1 tbsp. cooking oil,"1 thumb ginger, sliced",3 scallion whites,"4-6 dried shiitake mushroom, rehydrated","2 cloves garlic, minced",2 cups of rice,2 cups of water,1 cup of diced carrots,half of a corn,pinch of salt,dash of black pepper,green onion or coriander leaves for decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese brown sugar bread guo kui,"300g (2 +1/3 cups) all-purpose flour, more for dusting",150g (150ml) water,2g (1/2 tsp.) salt,1 tsp. yeast,oil for brushing,16g（2 tbsp.）all purpose flour,55g (1/4 cup) powdered brown sugar,a tiny pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised squid recipe,350g squid (tentacles recommended),1 red onion,1 small bunch of celery,8 dried red chili pepper (divided),4 cloves garlic (sliced),1 thumb ginger (sliced),3 tbsp. sweet bean paste (Tian Mian Jiang),½ tsp. Chinese five spice,½ tsp. Sichuan peppercorn powder,1 tsp. cumin powder,1 tbsp. light soy sauce,⅛ tsp. sugar,1 teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spicy peanuts,2 cups raw peanuts,oil for frying the peanuts,"5-7 dried chili pepper, sliced and remove the seeds","1 teaspoon Sichuan peppercorn, whole seed",1 teaspoon Chinese five spice powder,1 teaspoon ground Sichuan peppercorn powder,1 teaspoon sugar,½ teaspoon white pepper,Salt to taste (recommend 1.5 teaspoon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oyster mushroom stir fry,"400g oyster mushroom, end removed and spilt into small pieces",1 and ½ tbsp. oyster sauce,1 tsp. dark soy sauce,"1 thumb ginger, shredded","6 green onions, white and green part separated, cut into 1 inch sections",2 tbsp. cooking oil,¼ tsp. ground Szechuan peppercorn or black pepper,coriander stems for decoration (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peking duck pancake,2 cups all-purpose flour,1 cup hot boiling water+ 20ml for adjusting,3 tablespoon sesame oil or other vegetable oil,2 cups all-purpose flour,1 cup hot boiling water+ 20ml for adjusting,3 tablespoon sesame oil or other vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade peking duck,"1 duck (clean, lean around 1000g)",1 teaspoon white vinegar (for soaking),2 tablespoons of oyster sauce,1 teaspoonChinese five spice powder,2 tablespoons of maltose,2 tablespoons of boiling water,1 and ½ tablespoon Chinese cooking wine,10 pecking duck pancake,2 tablespoons of sweet bean paste + 1 tablespoon sesame oil,1 English cucumber,"2 leek onions, white part only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotus root chips,"Lotus root, 2 larger sections",1 cup of oil for fying,1 teaspoon salt,1 tablespoon Szechuan pepper,1 small bunch of coriander stems for decorating,2 fresh thai pepper for decorating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese dishes for hot summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roasted eggplants with garlic,"3 long purple eggplants, Japanese eggplants","3 whole garlic, peeled",½ cup of oil,2 tbsp. light soy sauce,1 tbsp. salt,½ tsp. Chinese five spice powder,"2 green onions, green part only, finely chopped",garlic chili sauce or other sauce (optional for a spicy taste),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crispy sesame tofu,"Half box of regular firm tofu, cut into 4*4 cm squares, about 1.5cm thick",Oil for pan-frying,"1 green onion, finely chopped",1 tbsp. white sesame seeds,1 tbsp. black sesame seeds,2 tbsp. cornstarch,pinch of salt to taste (I use around 1 tsp.),¼ tsp. Chinese five spice powder,1 tablespoon sesame oil,1 tablespoon stock or pure water,1 tablespoon light soy sauce,1 tablespoon finely chopped green onion,"1 fresh Thai pepper, chopped","2-3 coriander, chopped",1 teaspoon toasted sesame seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef shank noodles,100g braised beef shank,2 trees of Bok Choy,"2 serving noodles (either fresh or dried, I use fresh udon this time)","2 green onion, finely chopped","1 small bunch of coriander, finely chopped",500g oxtail+ 250g back bones+ 250g chicken bones,salt to taste,1 green onion,1 thumb ginger,2 star anise,1 small piece of Chinese cinnamon,2 bay leaves,¼ teaspoon Sichuan peppercorn (must),4 cloves,2L (high pressure cooker) to 2.5L (regular soup pot) water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese braised beef shank,1 Amomum tsaoko,"1 beef shank (around 1500g, bone removed)",2L beef stock,20ml (4 tsp.)dark soy sauce,20ml (4 tsp.) light soy sauce,2 leek onions,2 green onions,1 thumb ginger,2 shallots,⅓ cup shaoxing wine,20g rock sugar,4 star anises,2 small piece of Chinese cinnamon,4-6 bay leaves,½ teaspoon Sichuan peppercorn,4 cloves,½ teaspoon whole cumin seeds,½ teaspoon fennel seeds,1 cardamom,3 Amomum Cardamomum pods,1 Amomum tsaoko,2-3 dried chili peppers (optional),,,,,,,,,,,,,,,,,,,,,,,,
soy sauce fried rice,"1 cup prawn, cut a small break on the back for better flavoring",4 cups leftover rice,"2 eggs, beaten",1 tablespoon light soy sauce,½ tablespoon dark soy sauce,a small pinch of salt,"3 tablespoons cooking oil, divided",2 cups shredded cabbage (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 minutes zucchini salad,"3 zucchinis, cut into strips","2 green onions, chopped","1 clove garlic, minced",1 tablespoon light soy sauce,1 tablespoonoyster sauce,1 tablespoon black vinegar,1 tablespoon sesame oil,⅛ teaspoon sugar,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garlicky beef fried rice,4 cups leftover rice,"1 cup beef, cut into small dices",pinch of salt,½ tablespoons light soy sauce,½ cup diced fresh green pepper,½ cup diced fresh red pepper,3 garlic cloves,2 tablespoons cooking oil,salt as needed,Laoganma crispy chili oil for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green onion bread,"300g (2 and ⅓ cup,without shifting the flour) bread flour",25g (scant 2 tbsp.)sugar,1 teaspoon salt,1 smaller egg,160g milk (3.5% fat),1 and ½ teaspoon yeast,30g (2 tbsp.) unsalted butter at room temperature,Sweet Mayonnaise,"1 cup pork sung (肉松),homemade orstore-bought",1 cup finely chopped green onion,2 tablespoons olive oil,¼ teaspoon salt,¼ teaspoon ground white pepper,"1 egg, beaten",1 tablespoon water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shrimp egg foo young,"6 large eggs, room temperature recommended",2 fresh shitake mushrooms,"1 small bunch of bean sprouts (around 100g, root removed)","1 cup shrimp, unshelled and deveined+ a pinch of salt and pepper for marinating",2 green onions,¼ teaspoon Chinese five spice powder or white pepper powder,Oil for pan-frying or deep-frying,½ cup chicken broth,2 teaspoons light soy sauce,2 teaspoons corn starch,1 teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ginger milk pudding,400ml whole milk,1 tbsp. fresh ginger juice,2 tbsp. sugar to taste,1 tbsp. milk baking powder (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homestyle mai fun,100g thin rice noodles,10 whole shrimp (peeled and deveined),2 tablespoons cooking oil,"2 eggs, beaten",½ cup shredded carrot,½ cup shredded red onion,1 small bunch of bean sprouts,1 small bunch of Chinese chive,1 teaspoon Chinese five spice powder,pinch of salt,1 tablespoon light soy sauce,½ teaspoon sugar,1 teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da pan ji big plate chicken with noodles,"1 chicken, around 1.5 kg",3 tablespoons oil,3 star anises,½ teaspoon Sichuan peppercorn,"4 cloves garlic, sliced","1 thumb ginger, sliced","2 green onion, white part only, cut into 1 inch sections",6-10 dried red pepper,water as needed,1 tablespoon Doubanjiang,1 tablespoon Shaoxing wine,1 tablespoon light soy sauce,"2 middle size potatoes, peeled and cut into 3-4cm chunks",1 red bell pepper,1 green pepper,"½ red onion, cut into small pieces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kung pao sauce,3 tbsp. cooking oil,6-9 dried chili pepper,1 tsp. Sichuan peppercorn,"1 thumb ginger, minced","2 cloves garlic, minced","2 leek onion, white part only",½ tablespoon dark soy sauce,1 tablespoon light soy sauce,a small pinch of salt (around 1 teaspoon),1 inch ginger grated,1 tablespoon chopped green onion,"2 garlic cloves, finely chopped",1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,1 teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegan kung pao tofu,1 pound firm tofu or extra firm tofu,3 tablespoons vegetable cooking oil,"1 green pepper, cut into small pieces",1 red pepper sliced,3 to 5 dried red chili pepper (I use whole pieces to reduce the hotness),1/8 teaspoon whole Sichuan peppercorn,"2 garlic cloves, minced",1 inch root ginger sliced,"2 leek scallions, cut the white part into small sections",½ tablespoon dark soy sauce,1 tablespoon light soy sauce,a small pinch of salt (around 1 teaspoon),1 inch ginger grated,1 tablespoon chopped green onion,"2 garlic cloves, finely chopped",1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,2 teaspoon sugar,1 pound firm tofu or extra firm tofu,3 tablespoons vegetable cooking oil,"1 green pepper, cut into small pieces",1 red pepper sliced,⅛ teaspoon Sichuan peppercorn,3 to 5 dried red chili pepper (I use whole pieces to reduce the hotness),"2 garlic cloves, minced",1 inch root ginger sliced,"2 leek scallions, cut the white part into small sections",1 tbsp. peanuts,½ tablespoon dark soy sauce,1 tablespoon light soy sauce,a small pinch of salt (around 1 teaspoon),1 inch ginger grated,1 tablespoon chopped green onion,"2 garlic cloves, finely chopped",1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,2 teaspoon sugar,,,,,,,
kung pao chicken,"1 chicken leg (or 2 chicken thighs), cut into small cubes",½ cup of skinless peanuts (you may use roasted peanuts and skip step 3 and step 4),"2 leek onion (only white part), cut into small section.",6~8 dried chili peppers (change the amount according how hot you wish it to be),3 tablespoons cooking oil,1 teaspoon whole Sichuan peppercorn ( or you can use Sichuan peppercorn powder ),pinch of salt,1 tablespoon cooking wine,1 teaspoon cornstarch,1/2 tablespoon pour red oil from Chinese chili oil (optional),pinch of salt,1 tablespoon Shaoxing cooking wine,1 teaspoon cornstarch,½ tablespoon dark soy sauce,1 tablespoon light soy sauce,a small pinch of salt (around 1 teaspoon),1 inch ginger grated,1 tablespoon chopped green onion,"2 garlic cloves, finely chopped",1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,2 teaspoon sugar,"1 chicken leg (or 2 chicken thighs), cut into small cubes",½ cup of skinless peanuts (you may use roasted peanuts and skip step 3 and step 4),"2 leek onion (only white part), cut into small section.",6~8 dried chili peppers (change the amount according how hot you wish it to be),3 tablespoons cooking oil,1 teaspoon whole Sichuan peppercorn ( or you can use Sichuan peppercorn powder ),"½ tablespoon of red oil (optional, for a brighter color)",pinch of salt,1 tablespoon cooking wine,1 teaspoon cornstarch,½ tablespoon dark soy sauce,1 tablespoon light soy sauce,a small pinch of salt (around 1 teaspoon),1 inch ginger grated,1 tablespoon chopped green onion,"2 garlic cloves, finely chopped",1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,2 teaspoon sugar,,,
stuffed sticky rice balls zi fantuan,1 cup sticky rice (glutinous rice),½ cup white rice,1½ cup water,2 pieces of Chinese fried oil stick(油条),1 cup pork sung (肉松),half Takuan radish or ½ Chinese preserved vegetables (榨菜),toasted black sesame seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red braised pork chops,4 slices pork chops (around 1 cm in thickness),4 tbsp. starch (cornstarch or sweet potato starch),1½ tbsp. water,"2 green onions, cut into 1-inch section","1 green onion, finely chopped","1 small thumb ginger, sliced",2 tbsp. light soy sauce,½ tsp. sugar,Oil for frying,1 tablespoon light soy sauce,½ tablespoon rice wine,⅛ teaspoon white pepper,a small pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garlic broccoli stir fry,"1 head broccoli, separated into florets",1 tablespoon vegetable oil,"2 garlic cloves, finely chopped",pinch of salt,¼ teaspoon sesame oil,½ tablespoon oyster sauce (or ½ tablespoon light soy sauce + ⅛ teaspoon sugar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese roasted chicken,1 chicken (around 1 kg ),"4 cloves garlic, sliced","1 thumb ginger, sliced","2 green onion, cut into smaller sections",1 tbsp. Shaoxing wine,½ cup soy sauce,1 tbsp. sugar,1 tsp. salt,½ tsp. five spice powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shui zhu beef,"150g beef steak or tenderloin (cut into thin slices, against the grain)","1 small bunch of bean sprouts, remove the roots",pinch of salt,2 tablespoons starch +1 tablespoon water (recommend potato starch or sweet potato starch),1 tablespoon Chinese cooking wine,1+1/2 tablespoons water or slightly more if needed.,"2 green onions, white part cut into 2cm long and green pert chopped",2 star anises,5-8 dried chili pepper,½ teaspoon Sichuan pepper,1 tablespoon doubajiang,1 teaspoon dou-chi(optional),water as needed,1+2 tablespoons cooking oil,"3 garlic cloves, sliced","1 thumb ginger, sliced",Coriander and green onion for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese fried rice yangzhou fried rice,6 cups leftover white rice (note 1),"2 large eggs, beaten",2 tablespoons vegetable oil,¼ cup diced Chinese ham (or you can use char siu ),"8-10 shelled shrimp, deveined",½ cup green peas,½ cup diced carrot,Pinch of salt to taste,¼ teaspoon ground white pepper,1 tablespoon light soy sauce,"2 green onions, finely chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to make rice without a rice cooker,2 cups long rice,2 cups water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese laughing balls fried sesame balls,300 g (2½ cups) cake flour,1 and ½ tsp. baking powder,a tiny pinch of salt,150 g (scant ¾ cup) caster sugar,50ml water (warm water),2 tbsp. vegetable oil,1 egg,1 cup white sesame seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese beef noodle soup,1000g Beef shank or sirloin,2L beef bone stock or pork stock,2 tablespoons vegetable oil,1 middle size tomato,½ red onion,2 leek onions,"2 garlic cloves, sliced",2 tablespoons Doubanjiang,2 tablespoons light soy sauce,Pinch of salt to taste,chopped green onion and coriander (for garnishing),whole coriander (for decorating),noodles for 3-4 servings,2 bay leaves,2 star anises,1 teaspoon Sichuan peppercorn,1 small bark Chinese cinnamon,½ teaspoon clove,1 small nutmeg,1 Chinese cardamom,,,,,,,,,,,,,,,,,,,,,,,,,,
salt and pepper squid,"350g raw squid, tentacles and tubes",pinch of salt and pepper for marinating,salt to taste,2 teaspoon coarsely ground white pepper,"¼ cup starch (I use sweet potato starch, you can use cornstarch)",½ tablespoon chili pepper powder (optional for a mild version),"2 fresh peppers (one red, one green)","3 cloves of garlic, finely minced",½ middle size egg,"2 green onions, finely chopped",1 tablespoon of cooking oil,Oil for deep-frying,1 small bunch of Coriander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
