,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
goan peas pulao,basmati rice,green peas,oil,small onion,small tomato,bay leaves,cinnamon stick,cloves,mace,drops yellow food color,water,milk,salt to taste,bouillon cubes or maggi cube,basmati rice,green peas,oil,small onion,small tomato,bay leaves,cinnamon stick,cloves,mace,drops yellow food color,water,milk,salt to taste,bouillon cubes or maggi cube,basmati rice,green peas,oil,small onion,small tomato,bay leaves,cinnamon stick,cloves,mace,drops yellow food color,water,milk,salt to taste,bouillon cubes or maggi cube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sopa de camarao  shrimp soup,shrimp,shiitake mushroom,cheddar cheese grated,black pepper,chicken stock,small onion,corn flour,garlic pods( minced),cooking oil,shrimp,shiitake mushroom,cheddar cheese grated,black pepper,chicken stock,small onion,corn flour,garlic pods( minced),cooking oil,shrimp,shiitake mushroom,cheddar cheese grated,black pepper,chicken stock,small onion,corn flour,garlic pods( minced),cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
punjabi chole,chick peas (kabuli channa),onions,tomatoes,garlic cloves,ginger paste,green chilies,cumin seeds,cloves (laung),cinnamon (dalchini),cardamom (elaichi),bay leaves,maze,turmeric powder (haldi powder),red chili powder,coriander powder (dhaniya powder),cumin powder (zeera powder),amchur powder,salt,chopped coriander,lime juice,cooking oil,water,chick peas (kabuli channa),onions,tomatoes,garlic cloves,ginger paste,green chilies,cumin seeds,cloves (laung),cinnamon (dalchini),cardamom (elaichi),bay leaves,maze,turmeric powder (haldi powder),red chili powder,coriander powder (dhaniya powder),cumin powder (zeera powder),amchur powder,salt,chopped coriander,lime juice,cooking oil,water,chick peas (kabuli channa),onions,tomatoes,garlic cloves,ginger paste,green chilies,cumin seeds,cloves (laung),cinnamon (dalchini),cardamom (elaichi),bay leaves,maze,turmeric powder (haldi powder),red chili powder,coriander powder (dhaniya powder),cumin powder (zeera powder),amchur powder,salt,chopped coriander,lime juice,cooking oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,
aar macher kalia,cooking oil,aar mach(fish) or rohu or katla,curd (2 tablespoon),onion (medium),ginger paste,garlic paste,green chili paste,tomato(medium size),bay leaves (large),salt,turmeric powder,ghee,garam masala,green chili ( slit in halves),cooking oil,aar mach(fish) or rohu or katla,curd (2 tablespoon),onion (medium),ginger paste,garlic paste,green chili paste,tomato(medium size),bay leaves (large),salt,turmeric powder,ghee,garam masala,green chili ( slit in halves),cooking oil,aar mach(fish) or rohu or katla,curd (2 tablespoon),onion (medium),ginger paste,garlic paste,green chili paste,tomato(medium size),bay leaves (large),salt,turmeric powder,ghee,garam masala,green chili ( slit in halves),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beet and gajar curry,beet root (medium size),carrot (medium size),onion(medium size),ginger garlic paste,green chili,tomato (medium size),bay leaves (2 large),salt,turmeric powder,ghee or oil,garam masala,cooking oil,water,beet root (medium size),carrot (medium size),onion(medium size),ginger garlic paste,green chili,tomato (medium size),bay leaves (2 large),salt,turmeric powder,ghee or oil,garam masala,cooking oil,water,beet root (medium size),carrot (medium size),onion(medium size),ginger garlic paste,green chili,tomato (medium size),bay leaves (2 large),salt,turmeric powder,ghee or oil,garam masala,cooking oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhapa dim curry,eggs (large),onion (medium size),green chili,tomato (big),salt,cooking oil,ginger garlic paste,potato (medium),turmeric powder,oil,water as required,eggs (large),onion (medium size),green chili,tomato (big),salt,cooking oil,ginger garlic paste,potato (medium),turmeric powder,oil,water as required,eggs (large),onion (medium size),green chili,tomato (big),salt,cooking oil,ginger garlic paste,potato (medium),turmeric powder,oil,water as required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shrimp peri peri,shrimp,lemon,olive oil,garlic pods (minced),vinegar ( apple cider or coconut),red chilli powder ( original uses parika),red chilli ( original uses bird eye chilli extra spicy),sugar,salt to taste,shrimp,lemon,olive oil,garlic pods (minced),vinegar ( apple cider or coconut),red chilli powder ( original uses parika),red chilli ( original uses bird eye chilli extra spicy),sugar,salt to taste,shrimp,lemon,olive oil,garlic pods (minced),vinegar ( apple cider or coconut),red chilli powder ( original uses parika),red chilli ( original uses bird eye chilli extra spicy),sugar,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aar macher jhol,aar mach (or rohu or katla) fish,tomato (medium size),bay leaves (large),ginger paste,green chili paste,cumin powder,coriander powder,salt,cumin seeds,turmeric powder,green chili cut length wise,mustard oil,water,aar mach (or rohu or katla) fish,tomato (medium size),bay leaves (large),ginger paste,green chili paste,cumin powder,coriander powder,salt,cumin seeds,turmeric powder,green chili cut length wise,mustard oil,water,aar mach (or rohu or katla) fish,tomato (medium size),bay leaves (large),ginger paste,green chili paste,cumin powder,coriander powder,salt,cumin seeds,turmeric powder,green chili cut length wise,mustard oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mete charachari,cooking oil or mustard oil,potato (medium size),goat liver (mete),onion (medium size),ginger paste,garlic paste,green chili paste,tomato,bay leaves,salt,turmeric powder,garam masala,water,cooking oil or mustard oil,potato (medium size),goat liver (mete),onion (medium size),ginger paste,garlic paste,green chili paste,tomato,bay leaves,salt,turmeric powder,garam masala,water,cooking oil or mustard oil,potato (medium size),goat liver (mete),onion (medium size),ginger paste,garlic paste,green chili paste,tomato,bay leaves,salt,turmeric powder,garam masala,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coconut macaroons,coconut flakes,all purpose flour or maida,can of condense milk,vanilla essence,salt to taste,coconut flakes,all purpose flour or maida,can of condense milk,vanilla essence,salt to taste,coconut flakes,all purpose flour or maida,can of condense milk,vanilla essence,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolinhos bolina,rawa or semolina,coconut flakes,sugar,eggs,butter,milk,baking powder,vanilla essence,rawa or semolina,coconut flakes,sugar,eggs,butter,milk,baking powder,vanilla essence,rawa or semolina,coconut flakes,sugar,eggs,butter,milk,baking powder,vanilla essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage bhaji,cabbage ( chopped finely),coconut flakes or grated coconut,mustard seeds,turmeric powder,water,salt to taste,coriander powder or dhania,oil,onion,tomato,cabbage ( chopped finely),coconut flakes or grated coconut,mustard seeds,turmeric powder,water,salt to taste,coriander powder or dhania,oil,onion,tomato,cabbage ( chopped finely),coconut flakes or grated coconut,mustard seeds,turmeric powder,water,salt to taste,coriander powder or dhania,oil,onion,tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrambled eggs with choris,eggs,choris/ goan sausages,water,eggs,choris/ goan sausages,water,eggs,choris/ goan sausages,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato chops,large potatoes,salt,black pepper,minced (lamb or chicken   or beef or turkey or prawns),oil,"green chilies, finely chopped","garlic cloves, grind to paste","ginger (1 inch, grind to paste)","large onion, finely chopped",turmeric powder,"medium sized tomatoes, finely chopped",salt,garam masala powder,"bunch of coriander leaves, finely chopped",eggs,rava/ semolina as required,large potatoes,salt,black pepper,minced (lamb or chicken   or beef or turkey or prawns),oil,"green chilies, finely chopped","garlic cloves, grind to paste","ginger (1 inch, grind to paste)","large onion, finely chopped",turmeric powder,"medium sized tomatoes, finely chopped",salt,garam masala powder,"bunch of coriander leaves, finely chopped",eggs,rava/ semolina as required,large potatoes,salt,black pepper,minced (lamb or chicken   or beef or turkey or prawns),oil,"green chilies, finely chopped","garlic cloves, grind to paste","ginger (1 inch, grind to paste)","large onion, finely chopped",turmeric powder,"medium sized tomatoes, finely chopped",salt,garam masala powder,"bunch of coriander leaves, finely chopped",eggs,rava/ semolina as required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawn chili fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french toast,milk,bread slices,sugar syrup (maple syrup),egg,cinnamon powder,butter,milk,bread slices,sugar syrup (maple syrup),egg,cinnamon powder,butter,milk,bread slices,sugar syrup (maple syrup),egg,cinnamon powder,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chilli crab,crabs ( i used blue crabs),garlic pods ( minced),black pepper,chilli paste,small onion,spring onion or scallions,cube of bouillon or maggie,ketchup,cooking oil,crabs ( i used blue crabs),garlic pods ( minced),black pepper,chilli paste,small onion,spring onion or scallions,cube of bouillon or maggie,ketchup,cooking oil,crabs ( i used blue crabs),garlic pods ( minced),black pepper,chilli paste,small onion,spring onion or scallions,cube of bouillon or maggie,ketchup,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avocado milk shake,avocado,cubes of ice,milk,sugar,chocolate syrup,avocado,cubes of ice,milk,sugar,chocolate syrup,avocado,cubes of ice,milk,sugar,chocolate syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhanepatar bada,cooking oil,coriander,green chili,masoor dal or red split  dal,salt,cooking oil,coriander,green chili,masoor dal or red split  dal,salt,cooking oil,coriander,green chili,masoor dal or red split  dal,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bengali egg curry,cooking oil,potato (medium size),egg (large),tomato (medium size),onion paste (1/2 onion),onion (large),green chili,ginger paste,garlic paste,turmeric powder,salt,bay leaves,garam masala,cooking oil,potato (medium size),egg (large),tomato (medium size),onion paste (1/2 onion),onion (large),green chili,ginger paste,garlic paste,turmeric powder,salt,bay leaves,garam masala,cooking oil,potato (medium size),egg (large),tomato (medium size),onion paste (1/2 onion),onion (large),green chili,ginger paste,garlic paste,turmeric powder,salt,bay leaves,garam masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg fried rice,basmati rice,cooking oil,salt,green pepper (capsicum),carrot,eggs (large),onion (large),green peas,green chili,french beans,basmati rice,cooking oil,salt,green pepper (capsicum),carrot,eggs (large),onion (large),green peas,green chili,french beans,basmati rice,cooking oil,salt,green pepper (capsicum),carrot,eggs (large),onion (large),green peas,green chili,french beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ichorer dalna,cooking oil,potato (medium size),raw jackfruit,tomato (medium size),onion (medium size),garlic paste,green chili,ginger paste,turmeric powder,salt,bay leaves,garam masala,ghee,cooking oil,potato (medium size),raw jackfruit,tomato (medium size),onion (medium size),garlic paste,green chili,ginger paste,turmeric powder,salt,bay leaves,garam masala,ghee,cooking oil,potato (medium size),raw jackfruit,tomato (medium size),onion (medium size),garlic paste,green chili,ginger paste,turmeric powder,salt,bay leaves,garam masala,ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katal macher jhol,fish pieces (katal or rohu),mustard oil or cooking oil,green chili,tomato,salt,cumin seeds or jeeraseeds,turmeric powder,cumin powder,coriander powder or dhania powder,ginger paste,fish pieces (katal or rohu),mustard oil or cooking oil,green chili,tomato,salt,cumin seeds or jeeraseeds,turmeric powder,cumin powder,coriander powder or dhania powder,ginger paste,fish pieces (katal or rohu),mustard oil or cooking oil,green chili,tomato,salt,cumin seeds or jeeraseeds,turmeric powder,cumin powder,coriander powder or dhania powder,ginger paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheese omelet,cooking oil,onion,green chilli,egg,salt,cream cheese or cheddar cheese,cooking oil,onion,green chilli,egg,salt,cream cheese or cheddar cheese,cooking oil,onion,green chilli,egg,salt,cream cheese or cheddar cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bread omelete,cooking oil,onion (chopped),green chili (cut),egg (large),salt,cream cheese or grated cheddar cheese,cheese slice,slice bread,butter,cooking oil,onion (chopped),green chili (cut),egg (large),salt,cream cheese or grated cheddar cheese,cheese slice,slice bread,butter,cooking oil,onion (chopped),green chili (cut),egg (large),salt,cream cheese or grated cheddar cheese,cheese slice,slice bread,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mochar ghanta,cooking oil,bay leaves,green chili,grated coconut,salt,ghee,cumin powder or jeera powder,turmeric powder,banana blossom (medium size),potato (large),cooking oil,bay leaves,green chili,grated coconut,salt,ghee,cumin powder or jeera powder,turmeric powder,banana blossom (medium size),potato (large),cooking oil,bay leaves,green chili,grated coconut,salt,ghee,cumin powder or jeera powder,turmeric powder,banana blossom (medium size),potato (large),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narkeler boda,shredded coconut,cooking oil,salt,turmeric powder,green chili (chopped),wheat flour (aata or maida),shredded coconut,cooking oil,salt,turmeric powder,green chili (chopped),wheat flour (aata or maida),shredded coconut,cooking oil,salt,turmeric powder,green chili (chopped),wheat flour (aata or maida),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chilli gobi  steamed,medium sized cauliflower ( cut into small pieces),green pepper or capsicum,spring onions or scallions,small onion,green chilies,vinegar,soy sauce,red chili paste,salt to taste,oil,black pepper powder,ginger pieces,water,medium sized cauliflower ( cut into small pieces),green pepper or capsicum,spring onions or scallions,small onion,green chilies,vinegar,soy sauce,red chili paste,salt to taste,oil,black pepper powder,ginger pieces,water,medium sized cauliflower ( cut into small pieces),green pepper or capsicum,spring onions or scallions,small onion,green chilies,vinegar,soy sauce,red chili paste,salt to taste,oil,black pepper powder,ginger pieces,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawns masala fry,prawns,red chilli powder( kashmiri  preferred),coriander powder or dhania,black pepper powder,cooking oil,coconut vinegar,turmeric,salt to taste,prawns,red chilli powder( kashmiri  preferred),coriander powder or dhania,black pepper powder,cooking oil,coconut vinegar,turmeric,salt to taste,prawns,red chilli powder( kashmiri  preferred),coriander powder or dhania,black pepper powder,cooking oil,coconut vinegar,turmeric,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan style cauliflower,cauliflower (medium cut),green peas,grated coconut,green chilie,mustard seeds (rai),cumin seeds (jeera),curry leaves (karipatta),asafetida (hing),turmeric powder,sugar,oil,salt,coriander chopped for garnish (optional),garlic paste,ginger paste,cauliflower (medium cut),green peas,grated coconut,green chilie,mustard seeds (rai),cumin seeds (jeera),curry leaves (karipatta),asafetida (hing),turmeric powder,sugar,oil,salt,coriander chopped for garnish (optional),garlic paste,ginger paste,cauliflower (medium cut),green peas,grated coconut,green chilie,mustard seeds (rai),cumin seeds (jeera),curry leaves (karipatta),asafetida (hing),turmeric powder,sugar,oil,salt,coriander chopped for garnish (optional),garlic paste,ginger paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk toffee,whole milk,can condense milk,cashew nut,pistachios,drops of food color ( optional),whole milk,can condense milk,cashew nut,pistachios,drops of food color ( optional),whole milk,can condense milk,cashew nut,pistachios,drops of food color ( optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kormola,all purpose flour or maida,ghee,beaten eggs,powdered sugar,coconut milk ( can be substituted by regular milk),oil to deep fry,all purpose flour or maida,ghee,beaten eggs,powdered sugar,coconut milk ( can be substituted by regular milk),oil to deep fry,all purpose flour or maida,ghee,beaten eggs,powdered sugar,coconut milk ( can be substituted by regular milk),oil to deep fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filos,banana,eggs,sugar,flour,milk,salt,ghee,banana,eggs,sugar,flour,milk,salt,ghee,banana,eggs,sugar,flour,milk,salt,ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan french beans,french beans,green chili chopped finely,onion finely chopped,asafoetida (hing),sugar,curry leaf powder,coriander leaves chopped,grated coconut,salt,coconut oil,toor dal or pigeon peas,french beans,green chili chopped finely,onion finely chopped,asafoetida (hing),sugar,curry leaf powder,coriander leaves chopped,grated coconut,salt,coconut oil,toor dal or pigeon peas,french beans,green chili chopped finely,onion finely chopped,asafoetida (hing),sugar,curry leaf powder,coriander leaves chopped,grated coconut,salt,coconut oil,toor dal or pigeon peas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawn chow chow,french beans( cut into long pieces at an angle),"peppers(  1/2 different colors), cut in small squares",spring onions or scallions,vinegar ( coconut),green chilies,soy sauce,red chilli powder,turmeric powder,salt,cooking oil,noodles( boiled and drain all water),tomato ketchup,carrots (medium size),prawns,french beans( cut into long pieces at an angle),"peppers(  1/2 different colors), cut in small squares",spring onions or scallions,vinegar ( coconut),green chilies,soy sauce,red chilli powder,turmeric powder,salt,cooking oil,noodles( boiled and drain all water),tomato ketchup,carrots (medium size),prawns,french beans( cut into long pieces at an angle),"peppers(  1/2 different colors), cut in small squares",spring onions or scallions,vinegar ( coconut),green chilies,soy sauce,red chilli powder,turmeric powder,salt,cooking oil,noodles( boiled and drain all water),tomato ketchup,carrots (medium size),prawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobster soup,lobster,small onion,beer,black pepper,scallion or spring onion (chopped)( for garnish),sticks of asparagus (chopped),all purpose flour or maida,butter,worcestershire sauce,milk,cajun spice (can be substituted with a red chilli powder but very little you want a hint of spice),lobster,small onion,beer,black pepper,scallion or spring onion (chopped)( for garnish),sticks of asparagus (chopped),all purpose flour or maida,butter,worcestershire sauce,milk,cajun spice (can be substituted with a red chilli powder but very little you want a hint of spice),lobster,small onion,beer,black pepper,scallion or spring onion (chopped)( for garnish),sticks of asparagus (chopped),all purpose flour or maida,butter,worcestershire sauce,milk,cajun spice (can be substituted with a red chilli powder but very little you want a hint of spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phool gobhir paturi,cauliflower (big),mustard oil or cooking oil,potatoes (medium size),kala zeera or kalonji,green chili cut,turmeric powder,green chili,poppy seed paste,salt,cauliflower (big),mustard oil or cooking oil,potatoes (medium size),kala zeera or kalonji,green chili cut,turmeric powder,green chili,poppy seed paste,salt,cauliflower (big),mustard oil or cooking oil,potatoes (medium size),kala zeera or kalonji,green chili cut,turmeric powder,green chili,poppy seed paste,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rashapuli,coconut (medium size),sugar,milk,sooji or semolina,cardamom (elaichi),ghee,coconut (medium size),sugar,milk,sooji or semolina,cardamom (elaichi),ghee,coconut (medium size),sugar,milk,sooji or semolina,cardamom (elaichi),ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomator chatni,cooking oil,tomato (medium size),raisins,aam sapta (dried mango pulp),salt,suaf (mauri),mustard seed,salt,sugar,cooking oil,tomato (medium size),raisins,aam sapta (dried mango pulp),salt,suaf (mauri),mustard seed,salt,sugar,cooking oil,tomato (medium size),raisins,aam sapta (dried mango pulp),salt,suaf (mauri),mustard seed,salt,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
