,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Rava Dhokla, Semolina Dhokla, Suji Dhokla",1 1/2 cups semolina (rava),1/2 cup curds (dahi),1 1/2 tsp green chilli paste,2 tbsp oil, salt to taste,1 1/2 tsp fruit salt,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),1 tbsp finely chopped coriander (dhania), green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fada Ni Khichdi ( Gujarati Recipe),3/4 cup broken wheat (dalia),1 cup yellow moong dal (split yellow gram),3 tbsp ghee,"12 mm ( 1/2"") piece cinnamon (dalchini)",3 cloves (laung / lavang),1 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),1/2 tsp whole black peppercorns (kalimirch),1 tbsp ginger-green chilli paste,1 cup chopped onions,1 cup cauliflower florets,1 cup green peas,1 cup peeled potato cubes,1 tsp chilli powder,1/2 tsp turmeric powder (haldi), salt to taste,2 tbsp chopped coriander (dhania), fresh curd,,,,,,,,,,,,,,,,,,,,
"Green Peas Dhokla, Protein Rich Recipes","1 cup green peas purée  ,  refer handy tip",1 cup besan (bengal gram flour),1 tsp ginger-green chilli paste,2 tbsp powdered sugar,1/2 tsp citric acid (nimbu ka phool),1/3 cup grated paneer (cottage cheese), salt to taste,1 1/2 tsp fruit salt, oil for greasing,2 tbsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp urad dal (split black lentils),1 tsp finely chopped green chillies, a pinch of asafoetida (hing),2 tbsp chopped coriander (dhania),2 tbsp grated paneer (cottage cheese),,,,,,,,,,,,,,,,,,,,,,
Bhinda Sambhariya ( Gujarati Recipe),2 cups ladies finger (bhindi),1/4 cup oil,1/2 tsp asafoetida (hing),6 tbsp grated coconut,6 tbsp chopped coriander (dhania),3 tsp sugar,1 tsp ginger-green chilli paste,1 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp garam masala,1 tbsp sesame seeds (til),2 tbsp lemon juice,2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,
Kobi Batata Nu Shaak  ( Cabbage and Potato Vegetable),3 cups shredded cabbage,1 1/4 cups potato cubes,2 tbsp oil,1/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),7 to 8 curry leaves (kadi patta),"2 green chillies  ,  slit lengthwise", salt to taste,1/2 tsp coriander (dhania) seeds powder,1 tsp chilli powder,1/2 tsp sugar, rotis,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati Kadhi,2 cups fresh curds (dahi),5 tbsp besan (bengal gram flour),2 tsp ghee,1/2 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson),2 pinches of asafoetida (hing),5 curry leaves (kadi patta), salt to taste,1 tsp ginger-green chilli paste,2 tbsp sugar,2 tbsp finely chopped coriander (dhania), rotli, puran poli, khichdi,,,,,,,,,,,,,,,,,,,,,,,,
"Palak Methi Na Muthia, Gujarati Recipe",3 cups finely chopped spinach (palak),1 1/2 cups finely chopped fenugreek (methi), salt to taste,2 tsp ginger-green chilli paste,2 tbsp whole wheat flour (gehun ka atta),4 tbsp besan (bengal gram flour),1 tbsp semolina (rava / sooji),1/2 tsp cumin seeds (jeera),2 pinches of baking soda,1/2 tsp sugar,2 1/4 tsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing), green chutney,,,,,,,,,,,,,,,,,,,,,,,
"Toovar Dal Ni Khichdi, Gujarati Recipe",1 cup toovar (arhar) dal,1 cup rice (chawal),1 tbsp ghee,1/2 tsp cumin seeds (jeera),2 cloves (laung / lavang),5 black peppercorns (kalimirch),1 stick cinnamon (dalchini),1/2 tsp turmeric powder (haldi), salt to taste, rasawala potato nu shaak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevti Dal ( Gujarati Recipe),1/4 cup chana dal (split bengal gram),1/4 cup toovar (arhar) dal,1/4 cup yellow moong dal (split yellow gram),2 tbsp oil,1/2 tsp cumin seeds (jeera),2 cloves (laung / lavang),1 bayleaf (tejpatta),"1 whole dry kashmiri red chilli , broken into pieces",1/4 tsp asafoetida (hing),2 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1 tbsp lemon juice, salt to taste,2 tbsp finely chopped coriander (dhania), bhakhri, garlic chutney,,,,,,,,,,,,,,,,,,,,,,
Ek Toap Na Dal Bhaat ( Gujarati Recipe),"1/3 cup toovar (arhar) dal , soaked and drained","1 cup short grained rice (chawal) , soaked and drained","5 to 7 baby onions , peeled","3 to 4 baby potatoes , peeled",2 to 3  small brinjals,3 tbsp ghee, a pinch of asafoetida (hing),1/4 tsp turmeric powder (haldi),1/4 cup green peas, salt to taste,2 tbsp coriander-cumin seeds (dhania-jeera) powder,1 tbsp sugar,1 1/2 tbsp chilli powder,3/4 cup freshly grated coconut,1/3 cup finely chopped coriander (dhania), a pinch of asafoetida (hing), salt to taste, chaas,,,,,,,,,,,,,,,,,,,,
"Potato Wafers,  Farali Potato Chips Recipe, Fasting Recipe",2 cups peeled and thinly sliced potatoes, oil for deep-frying, rock salt  (sendha namak) to taste, freshly ground black pepper (kalimirch) to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chola Dal Panki,"1 cup chola dal (split cow peas) , soaked for 3 hours and drained",10 spinach (palak) leaves,1 tsp ginger-green chilli paste,2 tsp oil,1/4 tsp asafoetida (hing), salt to taste,"3 to 4 banana leaves (kele ka patta) , cut into 150 mm × 150 mm.  (6” ×6”) square",1 tsp oil for greasing, healthy green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Beans Curry,"1 cup rangoon na vaal (broad field beans) with skin , soaked overnight",2 cups roughly chopped tomatoes,1 tbsp ghee, salt to taste,2 medium sized onions,5 to 6 garlic (lehsun) cloves,"6 whole dry kashmiri red chillies , broken into pieces",1 tbsp coriander (dhania) seeds,1 tsp cumin seeds (jeera),2 tsp poppy seeds (khus-khus),4 to 5 black peppercorns (kalimirch),4 to 5 cloves (laung / lavang),"25 mm (1/2"") piece cinnamon (dalchini)",,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati Dal ( Gujarati Recipe),1 cup toovar (arhar) dal,1/2 cup chopped yam (suran),2 tbsp peanuts,2 dry dates (kharek)  (optional),1 tbsp ghee,1 tbsp oil,1/4 tsp mustard seeds ( rai / sarson),1/4 tsp cumin seeds (jeera),1/4 tsp fenugreek (methi) seeds,6 to 7 curry leaves (kadi patta),2 cloves (laung / lavang),"25 mm (1"") piece cinnamon (dalchini)",1 bayleaf (tejpatta),2 small round red chillies (boriya mirch),1/4 tsp asafoetida (hing),"4 to 5 kokum ,  soaked in water",1/4 cup finely chopped tomatoes,2 tbsp grated jaggery (gur),1 tsp lemon juice,25 mm (1”) piece grated ginger (adrak),2 slit green chillies,1/4 tsp chilli powder,1/4 tsp turmeric powder (haldi), salt to taste,2 tbsp chopped coriander (dhania) (dhania,,,,,,,,,,,,,
Wagharelo Rotla,"6  leftover rotlas (7”) each  ,   broken into pieces",3 tbsp oil,4 curry leaves (kadi patta),1/2 cup finely chopped onions,1/2 tsp turmeric powder (haldi),1 tsp finely chopped ginger (adrak),2 tsp finely chopped garlic (lehsun),2 tsp finely chopped green chillies, salt to taste,1 tsp sugar,3 tbsp finely chopped green garlic (hara lehsun),1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,
Mohanthaal ( Gujarati Recipe),3 cups besan (bengal gram flour),1 1/4 cups ghee,1/4 cup mava (khoya),2 1/4 cups sugar,1/2 tsp cardamom (elaichi) powder, a pinch of nutmeg (jaiphal) powder,"10 to 12 almonds (badam) , slivered","10 to 12 pistachios , slivered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poha Dhokla,1/2 cup coarsely crushed thick beaten rice (poha),1/2 cup semolina (rava),1 cup curds (dahi),1 tsp green chilli paste, salt to taste,1 tsp fruit salt,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson), a pinch of asafoetida (hing),1 tbsp finely chopped coriander (dhania), green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage Jowar Muthias,1 cup grated cabbage,1 cup jowar (white millet) flour,1/4 cup low fat curds (dahi),1 tbsp chopped coriander (dhania),1/2 tbsp lemon juice,1 tsp ginger-green chilli paste,1 tsp garlic (lehsun) paste,1/2 tsp turmeric powder (haldi),1/2 tsp asafoetida (hing), salt to taste,1 tsp oil,1 tsp cumin seeds (jeera),3 to 4 curry leaves (kadi patta),1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,
"Methi Makai Dhebra, Tea Time Snack",1 cup finely chopped fenugreek (methi),1 cup maize flour (makai ka atta),1/4 cup bajra (black millet) flour,1/2 cup whole wheat flour (gehun ka atta),1/4 cup semolina (rava / sooji),1/4 cup jowar (white millet) flour,1/4 tsp turmeric powder (haldi),1 1/2 tsp sesame seeds (til),2 tsp green chilli paste,1/2 tsp ginger (adrak) paste,1/2 tsp garlic (lehsun) paste,1 tbsp sugar,1/4 tsp asafoetida (hing),2 tbsp curds (dahi),1 tbsp oil, salt to taste, oil for deep-frying,,,,,,,,,,,,,,,,,,,,,
Gujarati Style Urad Dal Recipe,1 cup urad dal (split black lentils),1/2 cup whisked curds (dahi),2 tsp oil,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),5 curry leaves (kadi patta),1 tsp green chilli paste,1/2 tsp garlic (lehsun) paste,1/2 tsp turmeric powder (haldi), salt to taste,2 tbsp finely chopped coriander (dhania), rotla,,,,,,,,,,,,,,,,,,,,,,,,,,
Roti ( How To Make Soft Roti Or Phulka Or Chapati),1 cup whole wheat flour (gehun ka atta),1 1/2 tbsp oil, a pinch of salt  (optional), whole wheat flour (gehun ka atta) for rolling, ghee for smearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doodhi Muthia ( Gujarati Recipe),2 cups grated bottle gourd (doodhi / lauki),1/4 cup grated onions  (optional),1/2 cup whole wheat flour (gehun ka atta),1 cup semolina (rava),1/2 cup besan (bengal gram flour),2 tsp ginger-green chilli paste,1/2 tsp turmeric powder (haldi),1/2 tsp cumin seeds (jeera),1/2 tsp fennel seeds (saunf),1 tsp lemon juice,1 tsp sugar,2 tbsp chopped coriander (dhania),2 pinches of soda bi-carb,1/2 tsp asafoetida (hing), salt to taste,3 1/4 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,
"Fafda Recipe, Gujarati Fafda, Crispy Besan Snack",1 cup besan (bengal gram flour),2 1/2 tbsp oil,1/2 tsp carom seeds (ajwain),1 tsp papad khar, salt to taste, oil for deep-frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoolwadi Recipe, Fulwadi Gujarati Jar Snack",3/4 cup coarse besan (bengal gram flour),1/2 tsp coarsely crushed coriander (dhania) seeds,1/2 tsp coarsely crushed fennel seeds (saunf),1/2 tsp sesame seeds (til),1/2 tsp carom seeds (ajwain),1 1/2 tsp sugar,2 tsp curd (dahi),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder, salt and to taste, oil for deep-frying,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tendli Batata Nu Shaak, Tendli Aloo Subzi",3 cups sliced tendli,1 cup potato fingers,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/4 tsp turmeric powder (haldi), salt to taste,2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp chilli powder,1/2 tsp sugar,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khaman Dhokla, Quick Microwave Khaman Dhokla",1 cup besan (bengal gram flour),1 1/2 tbsp semolina (rava),1/2 tsp citric acid (nimbu ka phool),1 tbsp sugar,1 tsp ginger-green chilli paste, salt to taste,1 1/2 tsp fruit salt,1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp sesame seeds (til),1 tsp finely chopped green chillies, a pinch of asafoetida (hing),1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,
"Khandvi, Gujarati Snack Recipe",1 cup besan (bengal gram flour),1 cup fresh curd (dahi),2 to 3 drops of lemon juice,2 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi), a pinch of asafoetida (hing), salt to taste,3 1/4 tsp oil,1 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),5 to 6 curry leaves (kadi patta),1/2 tsp finely chopped green chillies,2 tbsp freshly grated coconut,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,
Karela Muthias,"1/2 cup grated bitter gourd (karela) , unpeeled  (refer handy tip)",1/4 cup finely chopped onions,1 1/2 tsp finely chopped garlic (lehsun),1 tsp ginger (adrak) paste,1 tsp finely chopped green chillies,1 tbsp finely chopped coriander (dhania),1/2 tsp turmeric powder (haldi),1 tbsp low-fat curds (dahi),1/4 cup whole wheat flour (gehun ka atta),1/4 cup jowar (white millet) flour,1/2 cup besan (bengal gram flour), salt to taste,1 tsp oil,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1 tbsp finely chopped coriander (dhania), low calorie green chutney,,,,,,,,,,,,,,,,,,,,,
"Lapsi, Fada ni Lapsi, Gujarati Broken Wheat Dessert Recipe",1/2 cup broken wheat (dalia),1/2 cup sugar,1/2 tsp cardamom (elaichi) powder,3 tbsp ghee, a few almond and pistachio slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atta ka Sheera ( Gujarati Recipe),1 cup whole wheat flour (gehun ka atta),1/2 cup melted ghee,3/4 cup sugar,1 tsp cardamom (elaichi) powder, almond slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanwa Dosa Recipe, Crispy Varai Dosa",1 cup sanwa millet (sama),1/2 cup roughly chopped boiled potatoes,1 tsp cumin seeds (jeera),2 tbsp finely chopped coriander (dhania),1 tsp finely chopped green chillies, rock salt (sendha namak) to taste,12 tsp oil for cooking, peanut curd chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damni Dhokla ( Non- Fried Snacks ),1/4 cup chana dal (split bengal gram),1/4 cup masoor dal (split red lentil),1/4 cup urad dal (split black lentils),1/4 cup yellow moong dal (split yellow gram),3/4 cup par-boiled rice (ukda chawal),1 cup sour curds (khatta dahi),1 tbsp methia keri,1/2 tsp chilli powder,1/4 cup grated jaggery (gur), salt to taste,1 tsp fruit salt,1/2 cup boiled kala chana (brown chick peas), 12-16 small banana leaves (kele ka patta)  (cut into small squares),,,,,,,,,,,,,,,,,,,,,,,,,
"Sabudana Khichdi, Upvas, Faraal, Fasting Sago Khichdi Recipe","1 cup sago (sabudana) , washed and drained",2 tbsp oil,1 tsp cumin seeds (jeera),3/4 cup boiled and peeled potato cubes, salt or rock salt to taste,1/2 cup roasted coarsely powdered peanuts,2 tbsp finely chopped coriander (dhania),2 tsp finely chopped green chillies,5 to 6 curry leaves (kadi patta),2 tsp lemon juice,2 tsp sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Nu Bhanolu ( Gujarati Recipe),1 1/4 cups finely chopped cauliflower florets,1 1/2 cups coconut milk,6 tbsp besan (bengal gram flour),1 tbsp ginger-green chilli paste,1 tsp sugar,1 tsp lemon juice, salt to taste,3 1/4 tsp oil for greasing and tempering,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Dal and Paneer Chila ( Healthy Snacks),"1/2 cup yellow moong dal (split yellow gram) , soaked for 3 to 4 hours", salt to taste, a pinch of asafoetida (hing),2 pinches of sugar,1 1/2 tsp green chilli paste,8 tbsp crumbled low-fat paneer (cottage cheese),4 tbsp finely chopped coriander (dhania),1 tsp chaat masala,1 tbsp besan (bengal gram flour),3 tsp oil for greasing and cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potatoes and Buckwheat Pakora, Kuttu ki Vrat Pakodi",1 cup boiled and mashed potatoes,1/2 cup buckwheat (kuttu or kutti no daro),2 tbsp roasted and coarsely crushed peanuts,2 tbsp finely chopped coriander (dhania),2 tsp finely chopped green chillies,1 tsp cumin seeds (jeera) powder, rock salt (sendha namak) to taste, oil for deep-frying, peanut chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabudana Khichadi,1 cup sago (sabudana),"1/2 cup roasted peanuts, crushed","2  medium potatoes, cubed",1/2 tsp cumin seeds (jeera),"2 green chillies, slit",2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moong Dal Chilla, Stuffed Moong Dal Chila","1 1/2 cups green moong dal (split  green gram) with skin , soaked for 2 hours and drained",1 1/2 tbsp roughly chopped green chillies, a pinch of asafoetida (hing), salt to taste, oil for cooking,2 cups boiled potato cubes,3/4 cup boiled green peas,1 tbsp oil,1 tsp cumin seeds (jeera),2 tsp finely chopped green chillies,1 tbsp dried mango powder (amchur), salt to taste, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,
"Sprouted Moong and Methi Chila, 100 Calorie Snacks",1 cup sprouted moong (whole green gram),"3 green chillies , roughly chopped","1 small piece ginger (adrak) , roughly chopped",1/2 cup roughly chopped fenugreek (methi),1 tbsp besan (bengal gram flour), salt to taste,"2 1/4 tsp oil for tempering , greasing and cooking",1/2 tsp cumin seeds (jeera),2 pinches asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringna Bateta Ni Kachri ( Gujarati Recipe),1 cup thickly sliced brinjal (baingan / eggplant),1 1/2 cups peeled and thickly sliced potatoes,2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),1 1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp chilli powder,1 1/2 tsp besan (bengal gram flour),1/2 tsp plain flour (maida), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turiya Paatra ( Gujarati Recipe),2 cups ridge gourd (turai) cubes,"6 to 8  paatra  ,   cut into cubes",2 tbsp oil,1 tsp cumin seeds (jeera), a pinch of asafoetida (hing),1/2 tsp soda bi- carb,1 recipe coconut-coriander masala,1 tsp turmeric powder (haldi), salt to taste,1 tsp sugar,1 tbsp grated coconut,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,
Panha ( Gujarati Recipe),"2 raw mangoes  ,  boiled and de-skinned",3/4 cup powdered sugar,1/2 tsp cardamom (elaichi) powder, a pinch of saffron (kesar) strands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabudana Thalipeeth, Upvas Vrat Recipe",1 cup sago (sabudana),1 cup boiled and mashed potatoes,1/4 cup roasted and coarsely crushed peanuts,1 tbsp sugar,1 tbsp finely chopped green chillies,1/2 tbsp cumin seeds (jeera),2 tbsp finely chopped coriander (dhania), rock salt (sendha namak) to taste,2 1/2 tsp oil brush (for greasing),5 tsp oil for cooking, sweet curds (dahi),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprouts Dhokla,1 cup sprouted moong (whole green gram),1/2 cup finely chopped spinach (palak),"3 green chillies , roughly chopped", salt to taste,2 tbsp besan (bengal gram flour),1 tsp fruit salt,1 tbsp oil,1 tsp sesame seeds (til),1/2 tsp asafoetida (hing),3 to 4 curry leaves (kadi patta),1 tsp finely chopped green chillies, oil for greasing, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,
Mag Dal Ni Kachori ( Gujarati Recipe),3/4 cup plain flour (maida),2 tsp melted ghee, salt to taste,"1 1/2 cups split yellow gram ,  soaked overnight and drained",2 tsp oil,1/2 tsp cumin seeds (jeera),1/2 tsp carom seeds (ajwain),1/2 tsp fennel seeds (saunf),1/2 tsp sesame seeds (til),1/2 tsp asafoetida (hing),1/2 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/2 tsp ginger-green chilli paste,2 tsp fennel powder,2 tsp sugar, salt to taste, oil for deep-frying, khajur imli ni chutney,,,,,,,,,,,,,,,,,,,,
"Bread Dhokla, Instant Bread Dhokla",3/4 cup fresh bread crumbs,1/2 cup semolina (rava / sooji),1 tsp ginger (adrak) green chilli paste,1/2 tsp chilli powder,1 1/2 tbsp oil, salt to taste,1 tsp fruit salt,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til),1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,,
